Date,SPY,TLT,GLD,HYG,USD_TRY
2015-04-23,215.93,106.08,111.1,92.3,2.798
2015-04-24,215.48,105.9,109.7,91.56,2.8708
2015-04-27,215.07,105.83,109.97,91.22,2.8845
2015-04-28,215.61,106.67,110.63,89.62,2.9121
2015-04-29,216.7,107.94,109.78,89.23,2.9412
2015-04-30,217.28,107.54,109.95,88.52,2.9791
2015-05-01,217.66,106.15,111.19,89.91,3.0191
2015-05-04,216.09,107.54,111.19,89.55,2.9953
2015-05-05,217.11,108.79,110.28,88.53,2.9894
2015-05-06,217.49,108.32,107.3,89.14,2.964
2015-05-07,220.38,108.69,106.34,89.04,2.9406
2015-05-08,223.49,109.09,105.77,89.09,2.9829
2015-05-11,224.05,109.69,105.28,89.24,2.9668
2015-05-12,223.18,109.91,104.35,89.4,2.9657
2015-05-13,221.66,111.39,104.74,89.17,2.9429
2015-05-14,222.82,109.58,104.2,89.84,2.9238
2015-05-15,223.1,110.67,104.11,90.22,2.9534
2015-05-18,222.32,111.08,104.8,89.9,2.9394
2015-05-19,222.52,110.86,103.98,89.81,2.9242
2015-05-20,221.05,112.11,103.7,89.19,2.9433
2015-05-21,222.89,109.66,105.86,89.4,2.9628
2015-05-22,221.85,110.88,106.76,89.92,2.9929
2015-05-25,225.05,111.29,105.48,90.39,3.0009
2015-05-26,226.17,110.12,105.43,90.83,2.9401
2015-05-27,227.78,110.58,106.01,90.76,2.9642
2015-05-28,225.06,110.27,107.27,91.88,2.9838
2015-05-29,225.59,113.01,107.45,91.75,3.0223
2015-06-01,227.58,114.99,106.93,91.8,2.9936
2015-06-02,225.22,115.48,106.22,91.59,3.0874
2015-06-03,224.63,114.71,106.89,91.66,3.0439
2015-06-04,224.8,114.09,107.22,91.52,3.0724
2015-06-05,221.42,113.75,106.72,92.96,3.0759
2015-06-08,222.3,113.15,106.55,93.28,3.0598
2015-06-09,224.53,112.2,106.16,92.12,3.0918
2015-06-10,222.44,111.59,106.91,91.84,3.0832
2015-06-11,223.42,111.3,106.23,90.89,2.9998
2015-06-12,220.2,110.77,106.74,91.51,2.9598
2015-06-15,220.19,110.05,107.63,92.49,2.9779
2015-06-16,216.28,109.1,108.15,92.2,3.0608
2015-06-17,219.14,111.77,107.32,92.65,3.0087
2015-06-18,220.24,110.23,108.71,92.53,3.0099
2015-06-19,220.27,109.18,108.04,92.83,3.0646
2015-06-22,218.43,109.64,108.5,94.08,3.0888
2015-06-23,221.69,109.31,107.75,93.85,3.0768
2015-06-24,226.78,109.76,106.01,93.0,3.0266
2015-06-25,222.14,110.6,106.26,93.53,2.9643
2015-06-26,225.37,111.94,106.57,93.92,2.9396
2015-06-29,229.66,112.74,106.51,94.42,2.9284
2015-06-30,230.63,111.7,106.81,95.18,2.8521
2015-07-01,227.61,112.88,106.18,94.72,2.7964
2015-07-02,229.94,111.03,105.46,93.34,2.8083
2015-07-03,229.56,110.91,105.31,94.1,2.7962
2015-07-06,228.08,110.4,107.25,93.83,2.7727
2015-07-07,225.01,109.31,108.1,93.0,2.7608
2015-07-08,226.51,109.93,107.59,92.21,2.7357
2015-07-09,228.65,109.75,108.18,93.02,2.768
2015-07-10,227.13,110.82,107.72,93.17,2.8247
2015-07-13,228.56,109.29,107.28,93.4,2.8976
2015-07-14,225.7,110.17,108.17,94.03,2.9241
2015-07-15,227.86,110.7,107.66,93.57,2.9522
2015-07-16,228.07,110.84,105.99,92.8,3.0063
2015-07-17,227.67,109.38,105.1,92.23,3.0715
2015-07-20,227.5,109.13,105.21,91.48,3.1279
2015-07-21,229.85,107.55,105.36,91.3,3.1756
2015-07-22,231.9,105.46,106.63,90.71,3.1534
2015-07-23,233.39,108.79,105.93,90.76,3.0953
2015-07-24,233.85,109.8,106.68,90.45,3.1299
2015-07-27,234.15,111.69,107.13,90.42,3.1283
2015-07-28,235.89,111.24,107.01,90.88,3.1281
2015-07-29,236.61,111.99,107.88,91.87,3.0967
2015-07-30,238.54,112.74,108.4,92.98,3.0506
2015-07-31,237.8,113.39,107.54,93.09,3.1042
2015-08-03,231.41,113.4,108.66,93.26,3.1235
2015-08-04,234.25,113.17,107.43,92.92,3.0857
2015-08-05,240.22,110.98,107.51,93.65,3.102
2015-08-06,241.53,111.63,107.54,94.77,3.1153
2015-08-07,241.35,112.09,107.99,94.37,3.1367
2015-08-10,241.07,113.29,107.28,94.93,3.2239
2015-08-11,240.84,113.01,107.26,94.72,3.2245
2015-08-12,240.98,114.89,107.14,94.62,3.1772
2015-08-13,238.03,114.41,108.18,94.78,3.1805
2015-08-14,236.73,113.07,107.39,94.51,3.1578
2015-08-17,234.16,114.09,107.48,95.18,3.1806
2015-08-18,234.92,113.6,107.24,94.13,3.1906
2015-08-19,234.22,112.27,105.95,93.66,3.2058
2015-08-20,235.64,112.41,108.69,93.59,3.186
2015-08-21,235.26,113.22,108.63,92.88,3.2037
2015-08-24,238.0,113.49,107.14,93.16,3.1861
2015-08-25,238.68,114.03,108.6,92.12,3.2078
2015-08-26,244.78,118.56,107.53,92.18,3.1982
2015-08-27,239.66,119.49,107.93,91.2,3.1575
2015-08-28,238.01,121.24,108.83,91.12,3.1783
2015-08-31,240.55,119.0,108.19,91.5,3.1534
2015-09-01,247.64,119.42,107.77,93.05,3.2104
2015-09-02,247.04,120.3,107.24,93.84,3.2295
2015-09-03,247.26,119.9,107.13,95.01,3.2496
2015-09-04,246.73,118.92,105.52,95.09,3.2555
2015-09-07,250.58,119.38,104.32,96.64,3.2551
2015-09-08,249.86,119.03,104.2,96.49,3.1651
2015-09-09,251.9,118.38,105.25,96.33,3.2138
2015-09-10,251.09,119.68,105.9,95.42,3.1845
2015-09-11,247.59,121.21,107.67,95.6,3.2232
2015-09-14,248.57,121.56,108.4,96.39,3.2005
2015-09-15,250.09,121.05,107.9,95.95,3.1969
2015-09-16,253.88,121.65,107.79,95.71,3.1902
2015-09-17,253.67,122.62,105.76,95.4,3.1526
2015-09-18,252.0,123.36,104.83,95.18,3.148
2015-09-21,253.71,121.69,103.84,94.78,3.168
2015-09-22,254.5,121.31,104.13,93.84,3.1542
2015-09-23,255.42,121.73,104.79,94.85,3.1085
2015-09-24,255.31,122.46,104.26,93.47,3.0891
2015-09-25,258.79,123.59,103.7,92.83,3.1002
2015-09-28,259.98,124.49,102.22,93.1,3.1451
2015-09-29,265.76,123.17,102.11,93.84,3.1787
2015-09-30,269.24,122.36,102.37,93.71,3.1916
2015-10-01,271.37,120.96,102.83,93.53,3.1556
2015-10-02,266.51,123.05,102.09,93.59,3.192
2015-10-05,268.44,123.27,104.05,93.43,3.1949
2015-10-06,269.83,123.93,105.25,94.07,3.1876
2015-10-07,272.43,125.15,105.17,93.75,3.2245
2015-10-08,275.79,124.78,104.67,93.08,3.2505
2015-10-09,274.65,123.44,104.38,92.77,3.272
2015-10-12,277.33,122.95,104.55,92.86,3.229
2015-10-13,275.68,122.79,104.55,93.75,3.2074
2015-10-14,281.97,124.55,105.05,94.91,3.1443
2015-10-15,277.85,125.59,105.83,94.64,3.1536
2015-10-16,272.47,124.31,107.23,93.63,3.1565
2015-10-19,267.52,125.11,108.42,92.67,3.194
2015-10-20,264.94,125.99,108.33,94.2,3.204
2015-10-21,261.7,124.74,108.75,93.93,3.1918
2015-10-22,267.68,124.62,108.37,94.28,3.2757
2015-10-23,266.8,122.47,107.8,95.68,3.2374
2015-10-26,262.87,122.87,109.78,95.21,3.1878
2015-10-27,266.32,122.51,109.33,95.09,3.1665
2015-10-28,264.66,120.97,111.42,94.7,3.1884
2015-10-29,261.08,120.18,111.08,93.94,3.177
2015-10-30,263.79,120.46,111.37,94.53,3.1621
2015-11-02,265.76,119.85,112.54,95.32,3.1217
2015-11-03,264.56,120.19,112.59,94.0,3.1793
2015-11-04,268.92,120.83,113.03,94.73,3.1575
2015-11-05,269.42,119.89,112.8,94.58,3.1187
2015-11-06,274.52,119.54,112.31,94.73,3.1159
2015-11-09,276.2,122.0,112.16,94.9,3.0877
2015-11-10,281.23,122.15,111.5,93.99,3.081
2015-11-11,281.7,121.19,113.25,93.79,3.1326
2015-11-12,277.94,121.26,113.09,93.11,3.1178
2015-11-13,285.88,119.75,114.97,94.49,3.1178
2015-11-16,284.23,121.05,112.11,96.09,3.1059
2015-11-17,283.7,121.48,112.16,96.17,3.1006
2015-11-18,281.57,122.74,112.77,95.34,3.1331
2015-11-19,281.03,123.81,112.48,96.2,3.1551
2015-11-20,281.92,124.27,113.68,96.09,3.144
2015-11-23,282.67,125.43,114.39,97.39,3.111
2015-11-24,284.91,125.67,114.11,98.87,3.1078
2015-11-25,290.88,124.9,114.61,100.15,3.1409
2015-11-26,290.6,123.7,117.72,99.88,3.1422
2015-11-27,286.67,123.19,118.02,99.15,3.1392
2015-11-30,282.97,120.32,118.38,98.68,3.0737
2015-12-01,280.95,122.42,117.91,98.63,3.1125
2015-12-02,275.78,120.47,118.08,97.97,3.0591
2015-12-03,278.48,120.39,116.68,98.88,3.0142
2015-12-04,277.02,118.91,116.48,99.39,3.0024
2015-12-07,276.16,116.66,119.24,99.39,3.0055
2015-12-08,276.26,116.58,120.47,99.12,3.0089
2015-12-09,272.03,116.26,121.23,99.63,2.9833
2015-12-10,269.49,116.09,122.53,100.69,2.9739
2015-12-11,271.67,116.7,124.75,99.26,2.954
2015-12-14,273.69,116.03,125.48,99.46,2.8923
2015-12-15,272.43,116.46,127.98,99.26,2.8852
2015-12-16,278.19,117.03,129.31,98.72,2.863
2015-12-17,274.21,116.67,129.54,98.49,2.8792
2015-12-18,273.24,116.37,131.68,98.62,2.8759
2015-12-21,272.64,116.97,128.81,100.04,2.9111
2015-12-22,264.24,117.04,128.14,100.11,2.9373
2015-12-23,270.22,117.23,128.49,99.81,2.9709
2015-12-24,271.45,114.64,127.41,98.91,3.0161
2015-12-25,268.36,114.71,127.25,99.52,3.0431
2015-12-28,274.79,115.13,126.5,98.98,3.0389
2015-12-29,276.73,114.99,125.75,98.91,3.0905
2015-12-30,278.19,115.36,129.04,99.47,3.0581
2015-12-31,276.39,117.47,129.83,99.54,3.0586
2016-01-01,276.83,117.57,129.79,99.27,3.0922
2016-01-04,272.19,118.32,131.44,99.16,3.0834
2016-01-05,274.77,117.39,131.17,99.86,3.1118
2016-01-06,273.71,116.45,132.3,99.87,3.0838
2016-01-07,274.24,115.94,132.77,100.08,3.0657
2016-01-08,278.11,114.83,134.85,100.42,3.0877
2016-01-11,279.12,114.83,133.08,100.19,3.1161
2016-01-12,280.06,113.83,134.07,100.47,3.1631
2016-01-13,281.06,113.66,134.25,100.28,3.1623
2016-01-14,278.84,112.13,132.82,101.17,3.1755
2016-01-15,281.61,110.4,134.19,101.58,3.2014
2016-01-18,286.69,109.71,133.12,100.28,3.2214
2016-01-19,289.28,108.62,135.19,100.15,3.1733
2016-01-20,292.32,107.96,135.88,101.01,3.1536
2016-01-21,289.54,107.34,136.8,100.87,3.2106
2016-01-22,286.82,107.0,136.93,100.58,3.1649
2016-01-25,282.28,108.07,138.14,101.36,3.1908
2016-01-26,286.37,109.48,135.75,100.56,3.1764
2016-01-27,285.66,110.25,135.87,100.63,3.2168
2016-01-28,290.34,109.88,135.09,101.1,3.1888
2016-01-29,287.89,111.45,135.48,101.78,3.1926
2016-02-01,286.58,109.86,135.45,101.01,3.1178
2016-02-02,287.01,107.79,136.27,100.09,3.1181
2016-02-03,290.14,108.07,135.22,101.25,3.1605
2016-02-04,290.45,108.08,137.62,100.68,3.1059
2016-02-05,291.26,107.94,140.69,100.64,3.1523
2016-02-08,291.43,107.99,140.44,102.53,3.1273
2016-02-09,292.13,106.33,140.45,102.19,3.1272
2016-02-10,288.57,105.19,140.86,100.53,3.0266
2016-02-11,288.95,106.43,142.58,102.69,3.0679
2016-02-12,288.46,107.48,145.19,103.51,3.0376
2016-02-15,288.39,106.75,143.57,103.81,3.0199
2016-02-16,290.12,108.73,142.77,106.04,2.9757
2016-02-17,288.0,107.64,141.37,106.01,2.9422
2016-02-18,287.84,107.07,139.92,107.2,2.9847
2016-02-19,286.98,107.38,137.8,107.23,2.9683
2016-02-22,288.46,106.18,138.3,107.04,3.0021
2016-02-23,291.15,105.7,136.82,107.57,2.9976
2016-02-24,288.13,105.54,138.8,108.32,3.0119
2016-02-25,290.16,105.15,140.03,109.4,2.9954
2016-02-26,297.16,106.03,138.7,110.42,3.0126
2016-02-29,292.36,106.63,137.38,110.03,3.1095
2016-03-01,289.74,105.54,136.62,109.99,3.1359
2016-03-02,286.97,104.87,138.46,111.64,3.1569
2016-03-03,286.18,105.06,137.38,112.18,3.1408
2016-03-04,291.61,105.0,135.48,112.29,3.181
2016-03-07,291.77,104.23,135.45,113.47,3.2353
2016-03-08,289.59,104.66,135.95,114.7,3.1718
2016-03-09,291.76,105.48,135.14,115.85,3.1215
2016-03-10,289.9,104.86,137.25,115.4,3.2032
2016-03-11,293.73,105.65,137.59,115.1,3.2215
2016-03-14,294.86,104.05,138.21,115.78,3.2285
2016-03-15,299.66,102.49,137.12,116.86,3.2523
2016-03-16,297.54,102.98,137.1,115.83,3.2974
2016-03-17,308.07,102.18,136.92,115.46,3.3312
2016-03-18,311.09,101.23,134.04,115.29,3.3243
2016-03-21,313.53,100.99,134.43,116.2,3.4097
2016-03-22,313.47,100.35,132.2,115.28,3.4122
2016-03-23,311.02,100.67,132.19,117.69,3.3786
2016-03-24,308.1,99.3,130.38,117.8,3.3581
2016-03-25,307.75,98.96,132.92,118.38,3.3548
2016-03-28,305.1,101.97,133.36,120.42,3.3416
2016-03-29,306.2,102.09,134.48,121.02,3.3361
2016-03-30,303.47,100.27,135.68,121.74,3.3507
2016-03-31,305.73,100.84,134.02,121.62,3.2232
2016-04-01,309.19,101.38,131.18,122.08,3.1951
2016-04-04,306.85,102.72,130.8,121.15,3.2337
2016-04-05,311.15,102.87,131.94,121.11,3.2576
2016-04-06,310.43,102.25,132.08,121.18,3.233
2016-04-07,314.65,103.62,133.09,120.31,3.2108
2016-04-08,316.34,104.33,134.3,121.27,3.257
2016-04-11,320.52,102.58,132.45,121.72,3.2493
2016-04-12,317.04,103.32,132.83,120.05,3.2306
2016-04-13,316.79,103.1,135.35,120.81,3.3054
2016-04-14,322.17,104.19,134.65,120.0,3.2927
2016-04-15,320.05,103.83,132.12,120.57,3.3218
2016-04-18,312.86,104.62,131.86,119.87,3.322
2016-04-19,306.17,104.82,131.31,119.59,3.326
2016-04-20,297.71,105.41,131.85,120.0,3.2904
2016-04-21,290.77,105.4,130.77,121.81,3.2599
2016-04-22,289.53,104.99,130.91,120.46,3.3115
2016-04-25,293.88,105.07,128.22,120.19,3.2685
2016-04-26,292.52,105.71,129.28,119.91,3.2813
2016-04-27,293.71,106.13,131.26,120.94,3.2366
2016-04-28,293.46,107.77,132.91,120.76,3.2292
2016-04-29,293.61,108.22,131.05,121.18,3.2297
2016-05-02,293.17,108.88,131.47,122.44,3.169
2016-05-03,292.7,111.07,127.84,123.19,3.2144
2016-05-04,294.36,111.15,128.21,122.84,3.2093
2016-05-05,290.57,111.72,128.15,122.48,3.2583
2016-05-06,294.04,111.09,126.98,122.27,3.2239
2016-05-09,297.24,111.15,127.42,122.45,3.2614
2016-05-10,296.7,112.89,127.61,121.7,3.356
2016-05-11,299.54,113.24,128.77,121.69,3.3668
2016-05-12,297.28,114.81,128.95,122.26,3.3427
2016-05-13,295.6,113.67,129.26,121.87,3.364
2016-05-16,296.24,112.18,126.94,121.46,3.3717
2016-05-17,295.72,112.52,125.58,121.76,3.3653
2016-05-18,294.33,111.08,125.04,122.54,3.3624
2016-05-19,292.21,113.93,125.41,121.34,3.3412
2016-05-20,290.49,115.29,125.43,120.48,3.3602
2016-05-23,293.71,113.95,127.25,121.69,3.3466
2016-05-24,287.43,113.78,126.23,121.71,3.3144
2016-05-25,288.69,113.17,125.97,120.74,3.349
2016-05-26,288.03,113.62,126.3,120.88,3.3443
2016-05-27,290.54,113.57,126.05,122.37,3.4543
2016-05-30,292.35,114.58,126.67,121.84,3.446
2016-05-31,283.39,116.19,126.01,120.99,3.4185
2016-06-01,285.38,115.96,127.74,120.8,3.3981
2016-06-02,286.55,114.69,127.38,122.29,3.4153
2016-06-03,286.73,115.31,128.75,121.72,3.3889
2016-06-06,285.33,115.14,128.74,122.24,3.3399
2016-06-07,288.22,116.4,130.6,123.21,3.4083
2016-06-08,286.98,116.24,128.91,123.82,3.36
2016-06-09,293.13,117.17,129.56,123.53,3.4236
2016-06-10,295.13,117.55,129.06,124.17,3.4315
2016-06-13,302.49,117.35,129.37,124.36,3.39
2016-06-14,299.93,116.86,130.86,125.15,3.4606
2016-06-15,294.13,117.66,129.49,125.55,3.4542
2016-06-16,296.64,120.52,127.9,125.72,3.4148
2016-06-17,299.65,121.49,126.73,124.12,3.4195
2016-06-20,299.88,121.34,127.06,124.75,3.4748
2016-06-21,294.81,122.17,124.84,124.68,3.5055
2016-06-22,293.44,122.31,124.98,122.77,3.5425
2016-06-23,295.62,120.85,123.49,122.76,3.6201
2016-06-24,295.12,121.21,122.19,123.06,3.6316
2016-06-27,294.85,123.01,121.79,122.98,3.6502
2016-06-28,294.38,122.65,122.25,120.77,3.6425
2016-06-29,291.39,121.36,121.55,120.14,3.5816
2016-06-30,289.75,121.93,121.01,119.3,3.5776
2016-07-01,285.22,124.07,120.99,119.04,3.6498
2016-07-04,291.11,125.19,120.7,117.02,3.577
2016-07-05,289.66,126.41,117.71,117.3,3.6373
2016-07-06,291.35,129.2,117.26,117.8,3.6509
2016-07-07,288.1,131.2,117.37,118.34,3.6134
2016-07-08,290.83,132.1,118.62,118.32,3.6184
2016-07-11,284.83,131.85,120.96,118.26,3.6986
2016-07-12,287.93,132.03,121.75,119.19,3.6754
2016-07-13,287.93,131.91,121.87,119.63,3.7127
2016-07-14,295.02,132.99,120.78,119.29,3.7657
2016-07-15,290.8,131.89,120.91,119.59,3.7276
2016-07-18,291.16,133.84,121.83,120.25,3.7583
2016-07-19,292.5,134.04,123.32,121.37,3.7848
2016-07-20,296.73,133.54,122.32,121.83,3.7656
2016-07-21,295.43,134.59,122.62,121.15,3.7989
2016-07-22,295.84,131.98,123.59,120.74,3.7848
2016-07-25,288.85,130.96,125.81,120.97,3.7609
2016-07-26,286.26,130.16,126.14,121.29,3.7078
2016-07-27,287.84,131.18,125.52,122.25,3.7272
2016-07-28,291.58,130.59,124.73,120.57,3.7103
2016-07-29,290.77,132.37,124.33,119.96,3.6877
2016-08-01,297.75,131.82,123.59,118.97,3.6394
2016-08-02,303.87,132.48,124.59,119.97,3.5824
2016-08-03,303.78,131.61,125.88,120.7,3.5508
2016-08-04,295.7,133.06,126.77,121.05,3.5842
2016-08-05,289.91,132.75,128.23,121.82,3.5515
2016-08-08,287.48,133.42,127.7,121.34,3.6157
2016-08-09,291.26,132.81,128.19,121.86,3.6357
2016-08-10,292.4,131.46,127.75,121.96,3.6448
2016-08-11,285.65,131.18,127.83,122.09,3.5947
2016-08-12,285.02,132.56,129.34,122.01,3.6822
2016-08-15,290.4,131.31,129.33,122.93,3.6212
2016-08-16,289.28,129.43,127.1,123.96,3.6467
2016-08-17,286.95,129.07,126.82,122.68,3.7238
2016-08-18,293.83,130.03,125.99,122.24,3.7172
2016-08-19,294.12,128.75,124.23,122.35,3.689
2016-08-22,292.65,128.1,123.33,122.92,3.6904
2016-08-23,293.93,128.33,124.48,121.49,3.7334
2016-08-24,294.1,127.94,126.5,120.69,3.7971
2016-08-25,292.79,128.3,125.94,120.45,3.827
2016-08-26,296.95,129.76,127.17,122.08,3.7805
2016-08-29,300.85,129.8,128.62,121.32,3.7523
2016-08-30,303.85,129.73,127.24,121.0,3.7637
2016-08-31,303.62,130.68,127.22,121.01,3.7087
2016-09-01,307.71,130.62,127.19,120.95,3.7002
2016-09-02,307.66,129.46,127.42,121.13,3.8034
2016-09-05,309.42,128.23,125.54,121.14,3.7577
2016-09-06,313.19,126.9,125.15,121.01,3.8127
2016-09-07,316.2,129.22,126.44,121.3,3.7725
2016-09-08,322.81,129.18,127.98,121.59,3.7593
2016-09-09,324.59,129.89,130.24,121.97,3.7584
2016-09-12,318.58,130.79,129.85,122.37,3.6934
2016-09-13,314.54,129.64,132.19,121.34,3.6909
2016-09-14,319.52,130.42,133.05,121.54,3.7511
2016-09-15,318.45,129.74,131.38,121.71,3.7857
2016-09-16,319.98,127.22,132.35,122.46,3.8199
2016-09-19,317.03,126.97,131.94,123.13,3.7854
2016-09-20,320.77,125.7,132.62,124.61,3.7811
2016-09-21,319.5,125.3,132.51,123.91,3.7926
2016-09-22,324.96,125.72,134.06,123.83,3.8259
2016-09-23,323.13,128.47,134.41,124.07,3.8904
2016-09-26,327.38,127.88,134.08,123.52,3.8463
2016-09-27,330.03,127.69,135.34,123.31,3.9279
2016-09-28,327.47,128.15,135.69,123.01,3.9168
2016-09-29,331.7,128.39,135.19,122.61,3.9073
2016-09-30,328.46,128.21,136.86,124.76,3.8534
2016-10-03,325.54,126.91,136.36,124.74,3.8526
2016-10-04,328.35,125.78,135.57,126.16,3.8443
2016-10-05,326.15,125.57,134.9,125.4,3.7901
2016-10-06,324.09,124.21,133.08,125.71,3.7791
2016-10-07,322.96,123.46,132.41,125.16,3.7869
2016-10-10,319.45,122.01,134.78,125.52,3.7705
2016-10-11,323.38,123.33,133.66,127.15,3.8082
2016-10-12,325.75,121.6,133.7,129.06,3.7639
2016-10-13,325.62,123.82,132.33,129.9,3.8066
2016-10-14,325.35,123.15,131.59,130.4,3.8004
2016-10-17,327.15,121.94,133.52,130.46,3.8197
2016-10-18,333.89,120.59,134.68,130.9,3.7383
2016-10-19,337.34,121.49,133.94,132.31,3.7464
2016-10-20,335.54,122.69,133.97,130.77,3.7458
2016-10-21,338.64,121.72,132.96,130.53,3.7904
2016-10-24,338.32,122.11,132.0,129.64,3.7393
2016-10-25,337.69,121.95,130.89,130.69,3.8033
2016-10-26,345.05,121.68,129.81,129.54,3.7565
2016-10-27,343.55,121.86,130.24,130.41,3.8186
2016-10-28,341.83,122.76,131.0,129.35,3.8475
2016-10-31,334.48,120.56,131.63,128.38,3.8151
2016-11-01,329.33,118.06,131.45,129.89,3.9181
2016-11-02,331.15,118.3,129.8,130.94,3.8646
2016-11-03,328.68,118.23,129.74,130.13,3.859
2016-11-04,330.74,119.01,128.64,128.51,3.8709
2016-11-07,326.71,117.11,129.74,127.67,3.8975
2016-11-08,324.01,116.03,130.45,128.29,3.9105
2016-11-09,326.63,117.75,131.4,128.33,3.9505
2016-11-10,332.22,116.31,130.99,127.49,3.9748
2016-11-11,334.59,116.72,128.8,128.06,3.9787
2016-11-14,339.3,115.85,129.99,129.44,3.9369
2016-11-15,346.06,115.42,131.53,128.41,3.923
2016-11-16,350.3,113.94,129.73,128.39,3.9681
2016-11-17,346.81,115.23,129.92,127.68,3.9153
2016-11-18,346.53,113.18,131.42,128.79,3.9229
2016-11-21,349.16,111.92,130.12,128.95,3.8299
2016-11-22,347.66,110.97,132.34,128.38,3.8004
2016-11-23,349.58,112.22,131.93,126.86,3.7293
2016-11-24,343.52,112.55,130.62,127.58,3.7877
2016-11-25,340.44,113.28,132.35,127.36,3.7079
2016-11-28,342.62,113.27,132.75,127.55,3.6995
2016-11-29,334.17,113.53,131.95,127.43,3.7342
2016-11-30,330.13,114.07,133.08,127.87,3.7639
